Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
0,MMM,3M Company,reports,Industrials,Industrial Conglomerates,,66740,1902
1,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,3/31/64,1800,1888
2,ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,12/31/12,1551152,2013
3,ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,5/31/18,815094,1981
4,ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,7/6/11,1467373,1989
5,ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,8/31/15,718877,2008
6,ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,5/5/97,796343,1982
7,AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,3/20/17,2488,1969
8,AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,7/9/15,1158449,1932
9,AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,10/2/98,874761,1981
10,AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,7/1/14,1004434,1993
11,AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,5/28/99,4977,1955
12,A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,6/5/00,1090872,1999
13,APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,4/30/85,2969,1940
14,AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,7/12/07,1086222,1998
15,ALK,Alaska Air Group Inc,reports,Industrials,Airlines,5/13/16,766421,1985
16,ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,7/1/16,915913,1994
17,ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,3/20/17,1035443,1994
18,ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,5/25/12,899866,1992
19,ALGN,Align Technology,reports,Health Care,Health Care Supplies,6/19/17,1097149,1997
20,ALLE,Allegion,reports,Industrials,Building Products,12/2/13,1579241,1908
21,AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,4/12/99,1578845,1983
22,ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,12/23/13,1101215,1996
23,LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,7/1/16,352541,1917
24,ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,7/13/95,899051,1931
25,GOOGL,Alphabet Inc Class A,reports,Communication Services,Interactive Media & Services,4/3/14,1652044,1998
26,GOOG,Alphabet Inc Class C,reports,Communication Services,Interactive Media & Services,4/3/06,1652044,1998
27,MO,Altria Group Inc,reports,Consumer Staples,Tobacco,,764180,1985
28,AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,11/18/05,1018724,1994
29,AEE,Ameren Corp,reports,Utilities,Multi-Utilities,9/19/91,1002910,1902
30,AAL,American Airlines Group,reports,Industrials,Airlines,3/23/15,6201,1934
31,AEP,American Electric Power,reports,Utilities,Electric Utilities,,4904,1906
32,AXP,American Express Co,reports,Financials,Consumer Finance,6/30/76,4962,1850
33,AIG,American International Group,reports,Financials,Property & Casualty Insurance,3/31/80,5272,1919
34,AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,11/19/07,1053507,1995
35,AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,3/4/16,1410636,1886
36,AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,10/3/05,820027,1894
37,ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,8/30/01,1140859,1985
38,AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,9/23/13,1037868,1930
39,AMGN,Amgen Inc.,reports,Health Care,Biotechnology,1/2/92,318154,1980
40,APH,Amphenol Corp,reports,Information Technology,Electronic Components,9/30/08,820313,1932
41,APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,7/28/97,773910,1959
42,ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,10/12/99,6281,1965
43,ANSS,ANSYS,reports,Information Technology,Application Software,6/19/17,1013462,1969
44,ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,7/25/02,1156039,2014
45,AON,Aon plc,reports,Financials,Insurance Brokers,4/23/96,315293,1982
46,AOS,A.O. Smith Corp,reports,Industrials,Building Products,7/26/17,91142,1916
47,APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,7/28/97,6769,1954
48,AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,3/14/03,922864,1994
49,AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals",11/30/82,320193,1977
50,AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,3/16/95,6951,1967
51,APTV,Aptiv Plc,reports,Consumer Discretionary,Auto Parts & Equipment,12/24/12,1521332,1994
52,ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,7/29/81,7084,1902
53,ARNC,Arconic Inc.,reports,Industrials,Aerospace & Defense,3/31/64,4281,2016
54,ANET,Arista Networks,reports,Information Technology,Communications Equipment,8/28/18,1596532,2004
55,AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,5/31/16,354190,
56,AIZ,Assurant,reports,Financials,Multi-line Insurance,4/10/07,1267238,
57,ATO,Atmos Energy Corp,reports,Utilities,Gas Utilities,2/15/19,731802,1906
58,T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,11/30/83,732717,1983
59,ADSK,Autodesk Inc.,reports,Information Technology,Application Software,12/1/89,769397,
60,ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,3/31/81,8670,
61,AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,1/2/97,866787,
